lat,lng,Title,City,State,Group,Ideology,Headquarters,Statewide,Year
32.3182314,-86.902298,Imperial Klans of America Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2004
32.3182314,-86.902298,Southern White Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2004
32.3182314,-86.902298,Imperial Klans of America Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2005
32.3182314,-86.902298,Imperial Klans of America Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2006
32.3182314,-86.902298,Brotherhood of Klans Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2008
32.3182314,-86.902298,Nation of Islam,"",ALABAMA,Nation of Islam,Black Separatist,"",Yes,2008
32.3182314,-86.902298,World Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2008
32.3182314,-86.902298,Brotherhood of Klans Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2009
32.3182314,-86.902298,Brotherhood of Klans Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2010
32.3182314,-86.902298,Knight Riders Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2010
32.3182314,-86.902298,United Northern and Southern Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2010
32.3182314,-86.902298,Creativity Movement,"",ALABAMA,Creativity Movement,Neo-Nazi,"",Yes,2011
32.3182314,-86.902298,Original Knight Riders Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2011
32.3182314,-86.902298,Rebel Brigade Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2011
32.3182314,-86.902298,United Knights Of Tennessee Order Of The KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2011
32.3182314,-86.902298,Alabama Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2012
32.3182314,-86.902298,Creativity Movement,"",ALABAMA,Creativity Movement,Neo-Nazi,"",Yes,2012
32.3182314,-86.902298,Fraternal White Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2012
32.3182314,-86.902298,Loyal White Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2012
32.3182314,-86.902298,Fraternal White Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2013
32.3182314,-86.902298,Loyal White Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2013
32.3182314,-86.902298,The Creativity Movement,"",ALABAMA,"",Neo-Nazi,"",Yes,2013
32.3182314,-86.902298,Loyal White Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2014
32.3182314,-86.902298,National Socialist Movement,"",ALABAMA,National Socialist Movement,Neo-Nazi,"",Yes,2014
32.3182314,-86.902298,Advanced White Society,"",ALABAMA,"",White Nationalist,"",Yes,2015
32.3182314,-86.902298,International Keystone Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2015
32.3182314,-86.902298,Militant Knights KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2015
32.3182314,-86.902298,National Socialist Movement,"",ALABAMA,National Socialist Movement,Neo-Nazi,"",Yes,2015
32.3182314,-86.902298,Original Knight Riders Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2015
32.3182314,-86.902298,Aryan Nations Sadistic Souls MC,"",ALABAMA,Aryan Nations,Neo-Nazi,"",Yes,2016
32.3182314,-86.902298,Militant Knights KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2016
32.3182314,-86.902298,National Socialist Movement,"",ALABAMA,National Socialist Movement,Neo-Nazi,"",Yes,2016
32.3182314,-86.902298,Nordic Order Knights of the Ku Klux Klan,"",ALABAMA,"",Ku Klux Klan,"",Yes,2016
32.3182314,-86.902298,United Dixie White Knights of the Ku Klux Klan,"",ALABAMA,"",Ku Klux Klan,"",Yes,2016
32.3182314,-86.902298,American Christian Dixie Knights of the Ku Klux Klan,"",ALABAMA,"",Ku Klux Klan,"",Yes,2017
32.3182314,-86.902298,The Daily Stormer,"",ALABAMA,"",Neo-Nazi,"",Yes,2017
32.3182314,-86.902298,Exalted Knights of the Ku Klux Klan,"",ALABAMA,"",Ku Klux Klan,"",Yes,2017
32.3182314,-86.902298,Global Crusaders: Order of the Ku Klux Klan,"",ALABAMA,"",Ku Klux Klan,"",Yes,2017
32.3182314,-86.902298,National Socialist Liberation Front,"",ALABAMA,"",Neo-Nazi,"",Yes,2017
