lat,lng,Title,City,State,Group,Ideology,Headquarters,Statewide,Year,UniqueID
32.3182314,-86.902298,Imperial Klans of America Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2004,f88e7df6-3abb-4a8a-8870-9349a9bf3441
32.3182314,-86.902298,Southern White Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2004,6442ac55-8435-43ec-8781-040809c4fd41
32.3182314,-86.902298,Imperial Klans of America Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2005,1be6f083-859e-413b-986d-dca6f1327eaf
32.3182314,-86.902298,Imperial Klans of America Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2006,957b5f97-d43f-41d0-9459-42ee0a3e2f57
32.3182314,-86.902298,Brotherhood of Klans Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2008,a6e07876-b4b5-45e7-b0ff-63e9c844aba9
32.3182314,-86.902298,Nation of Islam,"",ALABAMA,Nation of Islam,Black Separatist,"",Yes,2008,724916bf-8a2d-4e9a-9ad0-508a7b237cd4
32.3182314,-86.902298,World Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2008,830028e1-3889-451e-a2ef-9924b9b021c1
32.3182314,-86.902298,Brotherhood of Klans Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2009,63fc3525-95a4-49c1-ae89-eb1c2875054b
32.3182314,-86.902298,Brotherhood of Klans Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2010,ebc9eecf-50de-4e28-b386-fafc982e1631
32.3182314,-86.902298,Knight Riders Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2010,30874a64-cb66-420e-8de5-281860f7a7f4
32.3182314,-86.902298,United Northern and Southern Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2010,0d7a5741-9fcf-4844-a8a7-f2fbffe819ae
32.3182314,-86.902298,Creativity Movement,"",ALABAMA,Creativity Movement,Neo-Nazi,"",Yes,2011,069b78d1-2723-4574-b71d-cf7f804afbde
32.3182314,-86.902298,Original Knight Riders Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2011,2a0d06a5-210c-4c8e-9b2f-498e60053d32
32.3182314,-86.902298,Rebel Brigade Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2011,de195db8-ca05-4d39-beed-a99e91adf4a3
32.3182314,-86.902298,United Knights Of Tennessee Order Of The KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2011,d7a54289-7ef8-4ec0-a7df-b6216cf27d25
32.3182314,-86.902298,Alabama Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2012,16eb221d-26dc-4776-93eb-1a8207ecb1ac
32.3182314,-86.902298,Creativity Movement,"",ALABAMA,Creativity Movement,Neo-Nazi,"",Yes,2012,d3902823-af76-47a2-960d-9e726439bb70
32.3182314,-86.902298,Fraternal White Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2012,9f95b6fc-c676-45eb-9066-b1635dc0c5fa
32.3182314,-86.902298,Loyal White Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2012,3416888e-a451-4174-a95f-7f97e8ada56c
32.3182314,-86.902298,Fraternal White Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2013,adf5f3ef-b55d-4336-ab8f-f9d1721f5c1a
32.3182314,-86.902298,Loyal White Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2013,c6ca3cd7-ec4f-457c-85ca-2dedab0156b1
32.3182314,-86.902298,The Creativity Movement,"",ALABAMA,"",Neo-Nazi,"",Yes,2013,58df15b4-af36-4ffb-b025-d6417b657eec
32.3182314,-86.902298,Loyal White Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2014,5653c552-6068-4122-bf19-c612d9ecb2fb
32.3182314,-86.902298,National Socialist Movement,"",ALABAMA,National Socialist Movement,Neo-Nazi,"",Yes,2014,3fedc7d2-e2bc-49b6-a8d1-500f93a5a0b6
32.3182314,-86.902298,Advanced White Society,"",ALABAMA,"",White Nationalist,"",Yes,2015,4c8bb4d4-ebe3-45e7-a01c-fb429f6d42fe
32.3182314,-86.902298,International Keystone Knights of the KKK,"",ALABAMA,"",Ku Klux Klan,"",Yes,2015,c603e880-672a-4753-8940-fc023f166aea
